,FIPS,Date,Home Value
397761,06037,2011-10-31,370099.0
397762,17031,2011-10-31,195643.0
397763,48201,2011-10-31,129773.0
397764,04013,2011-10-31,137653.0
397765,06073,2011-10-31,353698.0
397766,06059,2011-10-31,473847.0
397767,36047,2011-10-31,489808.0
397768,12086,2011-10-31,169756.0
397769,48113,2011-10-31,123518.0
397770,36081,2011-10-31,417302.0
397771,06065,2011-10-31,215559.0
397772,06071,2011-10-31,181065.0
397773,32003,2011-10-31,131582.0
397774,53033,2011-10-31,320273.0
397775,26163,2011-10-31,48480.0
397776,48439,2011-10-31,128966.0
397777,06085,2011-10-31,580466.0
397778,12011,2011-10-31,149117.0
397779,48029,2011-10-31,130148.0
397780,36061,2011-10-31,949802.0
397781,42101,2011-10-31,137913.0
397782,06001,2011-10-31,415631.0
397783,25017,2011-10-31,389459.0
397784,36103,2011-10-31,456247.0
397785,06067,2011-10-31,185330.0
397786,36005,2011-10-31,314024.0
397787,36059,2011-10-31,439790.0
397788,12099,2011-10-31,166755.0
397789,39035,2011-10-31,106380.0
397790,12057,2011-10-31,133461.0
397791,42003,2011-10-31,124518.0
397792,26125,2011-10-31,144017.0
397793,39049,2011-10-31,128941.0
397794,27053,2011-10-31,193939.0
397795,12095,2011-10-31,135858.0
397796,51059,2011-10-31,456179.0
397797,06013,2011-10-31,330067.0
397798,49035,2011-10-31,212848.0
397799,48453,2011-10-31,221556.0
397800,29189,2011-10-31,149818.0
397801,04019,2011-10-31,143547.0
397802,24031,2011-10-31,406768.0
397803,15003,2011-10-31,525061.0
397804,36119,2011-10-31,555129.0
397805,55079,2011-10-31,112728.0
397806,06019,2011-10-31,150602.0
397807,47157,2011-10-31,104493.0
397808,13121,2011-10-31,176539.0
397809,37119,2011-10-31,162361.0
397810,36029,2011-10-31,130171.0
397811,17043,2011-10-31,228264.0
397812,09001,2011-10-31,391294.0
397813,12103,2011-10-31,121614.0
397814,34003,2011-10-31,425519.0
397815,18097,2011-10-31,97832.0
397816,37183,2011-10-31,220947.0
397817,09003,2011-10-31,216379.0
397818,12031,2011-10-31,118962.0
397819,24033,2011-10-31,205101.0
397820,09009,2011-10-31,221101.0
397821,26099,2011-10-31,96983.0
397822,06029,2011-10-31,129260.0
397823,06111,2011-10-31,402670.0
397824,34023,2011-10-31,292099.0
397825,13135,2011-10-31,134140.0
397826,06075,2011-10-31,707667.0
397827,24005,2011-10-31,226204.0
397828,39061,2011-10-31,125748.0
397829,48141,2011-10-31,122991.0
397830,42091,2011-10-31,276995.0
397831,25027,2011-10-31,231607.0
397832,53053,2011-10-31,203910.0
397833,34013,2011-10-31,329990.0
397834,48085,2011-10-31,211701.0
397835,48215,2011-10-31,82262.0
397836,36055,2011-10-31,126974.0
397837,25009,2011-10-31,329384.0
397838,21111,2011-10-31,133174.0
397839,41051,2011-10-31,240358.0
397840,25025,2011-10-31,346627.0
397841,40109,2011-10-31,119669.0
397842,06081,2011-10-31,659509.0
397843,53061,2011-10-31,244216.0
397844,17097,2011-10-31,195895.0
397845,13089,2011-10-31,122809.0
397846,13067,2011-10-31,165457.0
397847,06077,2011-10-31,164148.0
397848,17197,2011-10-31,178614.0
397849,29095,2011-10-31,101458.0
397850,25021,2011-10-31,375060.0
397851,48121,2011-10-31,191970.0
397852,35001,2011-10-31,173688.0
397853,01073,2011-10-31,116049.0
397854,34017,2011-10-31,321391.0
397855,34025,2011-10-31,370774.0
397856,47037,2011-10-31,164260.0
397857,44007,2011-10-31,194969.0
397858,42017,2011-10-31,292464.0
397859,08041,2011-10-31,200913.0
397860,24510,2011-10-31,125281.0
397861,12071,2011-10-31,142546.0
397862,40143,2011-10-31,126833.0
397863,26081,2011-10-31,115420.0
397864,12105,2011-10-31,103862.0
397865,11001,2011-10-31,420735.0
397866,08031,2011-10-31,235743.0
397867,48157,2011-10-31,195548.0
397868,34029,2011-10-31,263421.0
397869,08005,2011-10-31,208493.0
397870,42045,2011-10-31,205780.0
397871,25005,2011-10-31,258649.0
397872,20091,2011-10-31,213059.0
397873,12009,2011-10-31,117739.0
397874,39153,2011-10-31,113755.0
397875,10003,2011-10-31,214980.0
397876,24003,2011-10-31,316252.0
397877,34039,2011-10-31,317629.0
397878,39113,2011-10-31,95868.0
397879,08059,2011-10-31,246101.0
397880,41067,2011-10-31,245742.0
397881,42071,2011-10-31,189064.0
397882,31055,2011-10-31,136856.0
397883,49049,2011-10-31,204756.0
397884,17089,2011-10-31,180714.0
397885,06099,2011-10-31,140823.0
397886,34007,2011-10-31,176991.0
397887,27123,2011-10-31,164875.0
397888,34031,2011-10-31,302392.0
397889,42029,2011-10-31,308424.0
397890,20173,2011-10-31,120523.0
397891,18089,2011-10-31,128506.0
397892,25023,2011-10-31,306327.0
397893,12127,2011-10-31,117518.0
397894,34027,2011-10-31,408352.0
397895,37081,2011-10-31,133055.0
397896,55025,2011-10-31,212963.0
397897,06097,2011-10-31,347866.0
397898,53063,2011-10-31,169186.0
397899,36085,2011-10-31,392624.0
397900,36067,2011-10-31,127896.0
397901,12101,2011-10-31,111152.0
397902,25013,2011-10-31,181715.0
397903,48339,2011-10-31,184710.0
397904,45045,2011-10-31,154077.0
397905,34005,2011-10-31,224351.0
397906,06107,2011-10-31,127907.0
397907,39095,2011-10-31,77085.0
397908,08001,2011-10-31,181030.0
397909,22033,2011-10-31,169252.0
397910,51810,2011-10-31,247248.0
397911,42133,2011-10-31,165350.0
397912,22051,2011-10-31,174647.0
397913,47093,2011-10-31,158272.0
397914,19153,2011-10-31,144687.0
397915,26049,2011-10-31,72782.0
397916,53011,2011-10-31,197094.0
397917,06083,2011-10-31,402716.0
397918,12117,2011-10-31,144450.0
397919,48491,2011-10-31,187800.0
397920,32031,2011-10-31,166825.0
